address,balance,
bcna14h2x997gt54v7akrxdfakd33x9yxa5khuk7rlf,10211439956,
bcna1ahrq3fly4jnd3tfdful8nzl0kn73zpqeqmf0f5,10182659451,
bcna1gw6yu9jetj2vrht8qrf9wmpjdq4weueerurh4g,10145990000,
bcna1muqga622sqxul8gwk2j4zw3f6cmjucp9r7vhs8,10073000000,
bcna1qa9wh4fhxh5qts84ge9x5xv0qe56yqyps7x464,10000365807,
bcna1qm3rk2a42wsfrq94gzcpmgq7r48aguq08k09tk,10000000000,
bcna1pakf8yyx33ywzqtx4fh4anh543f64pjtnxs0n0,10000000000,
bcna1rgfgg05c773kj0n67fdk076ykedghfahj8qzwa,10000000000,
bcna1x3f3zawvq38vddx0lsnrfr6580w8arnqfudd7q,10000000000,
bcna18lqa6fzqge6tjv4t44hgj3fnshjevxvl0y89nf,10000000000,
bcna1ggxsdp4wq7s2hvzeelfwnyz5nnaew9tdft4ufp,10000000000,
bcna10hc0ylp6t0fmwpyga2zc6zj5qcf3ed0nwd0dja,10000000000,
bcna15avs505z57yr4s2qxhnsjszj4ddc00qekac2ev,10000000000,
bcna1h7f46zcfmpqtwluacc3rredr9udpgtpezsz4mn,10000000000,
bcna16jsvh7rdd564vt8hxc2l7x8j8k3hj3qng5drsj,10000000000,
bcna1usspk44p73gafvlz6lq2mxhyyd4g0xkfcsrutl,10000000000,
bcna1ed7an6qatn7kc2a0huh7w8vgl2ycdn4jfk9yae,9504388908,
bcna1tr523g053jer0wyg8lqj6nj38zkatcp5cgc3vt,9494295002,
